Scenario,Seed,Customers,Vehicles,Capacity,SimTime,Preset,Swarm,Iterations,QPSO_BestFit,QPSO_MeanFit,QPSO_Time_h,QPSO_Dist_km,QPSO_Compute_ms,QPSO_Feas_pct,PSO_BestFit,PSO_MeanFit,PSO_Time_h,PSO_Dist_km,PSO_Compute_ms,PSO_Feas_pct,GNN_BestFit,GNN_MeanFit,GNN_Time_h,GNN_Dist_km,GNN_Compute_ms,GNN_Feas_pct,QPSO_vs_PSO_FitImp_%,QPSO_vs_PSO_TimeImp_%,PSO_Winner,QPSO_vs_GNN_FitImp_%,QPSO_vs_GNN_TimeImp_%,GNN_Winner
250,32363,13,4,103.5,18.0,uniform,26,46,12.02,12.02,12.02,492.12,39.97,100.0,11.85,11.85,11.85,533.63,26.29,100.0,13.19,13.19,13.19,534.92,0.01,100.0,-1.4,-1.4,Classical PSO,8.88,8.88,QPSO
251,55172,15,5,75.0,8.0,incident,30,66,15.4,15.4,15.4,604.84,46.74,100.0,16.79,16.79,16.79,661.38,48.38,100.0,17.25,17.25,17.25,698.87,0.01,100.0,8.3,8.3,QPSO,10.73,10.73,QPSO
252,86575,17,5,102.5,9.0,rush_hour,45,43,18.87,18.87,18.87,585.57,34.53,100.0,21.1,21.1,21.1,629.72,24.71,100.0,21.23,21.23,21.23,647.36,0.01,100.0,10.58,10.58,QPSO,11.15,11.15,QPSO
253,12725,20,6,96.8,8.5,rush_hour,30,42,27.41,27.41,27.41,597.28,34.64,100.0,31.23,31.23,31.23,669.56,19.75,100.0,32.37,32.37,32.37,719.55,0.01,100.0,12.23,12.23,QPSO,15.31,15.31,QPSO
254,53034,17,5,116.8,8.0,uniform,34,76,14.16,14.16,14.16,587.84,80.11,100.0,13.9,13.9,13.9,575.12,46.2,100.0,16.39,16.39,16.39,671.71,0.05,100.0,-1.85,-1.85,Classical PSO,13.62,13.62,QPSO
255,80007,11,5,84.2,8.5,incident,39,57,9.79,9.79,9.79,386.28,37.16,100.0,9.07,9.07,9.07,356.07,24.45,100.0,11.08,11.08,11.08,426.21,0.01,100.0,-7.94,-7.94,Classical PSO,11.64,11.64,QPSO
256,26272,11,5,78.1,18.0,rush_hour,30,40,9.04,9.04,9.04,376.58,23.0,100.0,9.02,9.02,9.02,380.89,22.41,100.0,11.55,11.55,11.55,515.5,0.01,100.0,-0.22,-0.22,Classical PSO,21.74,21.74,QPSO
257,97549,15,4,98.4,8.5,incident,45,65,13.69,13.69,13.69,476.51,46.84,100.0,16.8,16.8,16.8,634.71,27.24,100.0,17.2,17.2,17.2,660.54,0.01,100.0,18.53,18.53,QPSO,20.4,20.4,QPSO
258,57059,18,7,74.3,8.5,uniform,40,60,18.08,18.08,18.08,717.02,56.88,100.0,19.07,19.07,19.07,711.61,28.04,100.0,20.82,20.82,20.82,839.19,0.01,100.0,5.17,5.17,QPSO,13.14,13.14,QPSO
259,33512,10,4,89.2,9.0,rush_hour,34,77,13.22,13.22,13.22,383.27,47.47,100.0,13.34,13.34,13.34,382.4,43.91,100.0,17.9,17.9,17.9,468.28,0.01,100.0,0.9,0.9,QPSO,26.17,26.17,QPSO
