Scenario,Seed,Customers,Vehicles,Capacity,SimTime,Preset,Swarm,Iterations,QPSO_BestFit,QPSO_MeanFit,QPSO_Time_h,QPSO_Dist_km,QPSO_Compute_ms,QPSO_Feas_pct,PSO_BestFit,PSO_MeanFit,PSO_Time_h,PSO_Dist_km,PSO_Compute_ms,PSO_Feas_pct,GNN_BestFit,GNN_MeanFit,GNN_Time_h,GNN_Dist_km,GNN_Compute_ms,GNN_Feas_pct,QPSO_vs_PSO_FitImp_%,QPSO_vs_PSO_TimeImp_%,PSO_Winner,QPSO_vs_GNN_FitImp_%,QPSO_vs_GNN_TimeImp_%,GNN_Winner
41,45942,11,5,100.3,8.0,uniform,33,33,10.35,10.35,8.85,314.0,12.9,100.0,11.48,11.48,9.98,383.69,8.68,100.0,10.56,10.56,9.06,324.38,0.0,100.0,9.84,11.32,QPSO,2.03,2.37,QPSO
42,6778,8,4,116.3,8.5,incident,34,42,9.16,9.16,8.16,305.24,11.49,100.0,9.16,9.16,8.16,305.24,7.84,100.0,10.42,10.42,9.42,375.51,0.0,100.0,0.0,0.0,Tie,12.14,13.43,QPSO
43,93493,14,5,76.7,17.5,uniform,31,43,16.54,16.54,14.54,541.9,14.48,100.0,16.43,16.43,14.43,534.9,12.05,100.0,19.62,19.62,17.62,649.25,0.01,100.0,-0.65,-0.74,Classical PSO,15.72,17.5,QPSO
44,73420,10,5,77.6,9.0,uniform,31,31,11.63,11.63,10.13,362.07,8.76,100.0,11.75,11.75,10.25,400.54,5.38,100.0,12.7,12.7,11.2,442.22,0.0,100.0,1.0,1.14,QPSO,8.41,9.54,QPSO
45,90399,11,6,91.2,13.0,incident,24,32,13.24,13.24,11.74,419.64,7.28,100.0,13.51,13.51,12.01,447.34,8.76,100.0,15.6,15.6,14.1,503.92,0.01,100.0,1.97,2.22,QPSO,15.1,16.71,QPSO
46,22299,10,6,71.5,9.0,rush_hour,27,33,12.69,12.69,11.19,376.34,10.62,100.0,13.02,13.02,11.52,383.89,8.72,100.0,13.86,13.86,12.36,423.45,0.01,100.0,2.55,2.88,QPSO,8.44,9.46,QPSO
47,21866,9,5,122.3,8.5,uniform,34,36,7.4,7.4,6.4,248.75,9.69,100.0,7.98,7.98,6.98,249.37,8.88,100.0,9.82,9.82,8.82,316.29,0.0,100.0,7.27,8.31,QPSO,24.67,27.46,QPSO
48,41001,11,4,71.4,13.0,rush_hour,28,27,11.54,11.54,9.54,446.77,7.96,100.0,12.23,12.23,10.23,467.36,7.38,100.0,15.66,15.66,13.66,607.64,0.01,100.0,5.61,6.71,QPSO,26.33,30.18,QPSO
49,37585,13,5,110.8,8.0,uniform,28,30,13.42,13.42,11.92,485.66,9.93,100.0,15.57,15.57,14.07,592.11,6.72,100.0,15.53,15.53,14.03,590.22,0.0,100.0,13.83,15.3,QPSO,13.61,15.06,QPSO
50,77099,12,5,76.5,9.0,incident,30,38,13.06,13.06,11.06,448.32,14.99,100.0,14.43,14.43,12.43,504.51,10.94,100.0,17.23,17.23,15.23,610.01,0.0,100.0,9.54,11.07,QPSO,24.21,27.39,QPSO
