Scenario,Seed,Customers,Vehicles,Capacity,SimTime,Preset,Swarm,Iterations,QPSO_BestFit,QPSO_MeanFit,QPSO_Time_h,QPSO_Dist_km,QPSO_Compute_ms,QPSO_Feas_pct,PSO_BestFit,PSO_MeanFit,PSO_Time_h,PSO_Dist_km,PSO_Compute_ms,PSO_Feas_pct,GNN_BestFit,GNN_MeanFit,GNN_Time_h,GNN_Dist_km,GNN_Compute_ms,GNN_Feas_pct,QPSO_vs_PSO_FitImp_%,QPSO_vs_PSO_TimeImp_%,PSO_Winner,QPSO_vs_GNN_FitImp_%,QPSO_vs_GNN_TimeImp_%,GNN_Winner
14691,37078,18,5,98.2,13.0,uniform,32,59,14.4,14.4,14.4,562.39,69.9,100.0,16.76,16.76,16.76,650.05,60.32,100.0,15.55,15.55,15.55,630.5,0.01,100.0,14.08,14.08,QPSO,7.41,7.41,QPSO
14692,61321,19,6,84.4,17.5,incident,25,40,15.22,15.22,17.3,791.52,43.69,100.0,14.42,14.42,14.42,670.31,61.7,100.0,17.13,17.13,17.13,813.39,0.01,100.0,-5.55,-19.95,Classical PSO,11.15,-0.97,QPSO
14693,81751,14,4,97.5,8.0,uniform,37,77,13.37,13.37,13.37,620.59,94.9,100.0,13.81,13.81,13.81,661.92,95.73,100.0,14.69,14.69,14.69,720.55,0.01,100.0,3.24,3.24,QPSO,8.98,8.98,QPSO
14694,56397,16,5,90.5,17.5,uniform,45,52,16.52,16.52,16.52,600.08,56.73,100.0,15.73,15.73,15.73,582.96,55.96,100.0,70.98,70.98,16.67,611.78,0.01,0.0,-5.01,-5.01,Classical PSO,76.73,0.91,QPSO
14695,29205,11,4,79.5,8.5,uniform,40,68,11.38,11.38,11.38,494.73,56.02,100.0,11.53,11.53,11.53,486.24,63.78,100.0,12.55,12.55,12.55,526.0,0.01,100.0,1.28,1.28,QPSO,9.34,9.34,QPSO
14696,67593,17,4,109.8,18.0,incident,40,48,14.05,14.05,14.05,508.65,53.27,100.0,13.72,13.72,13.72,515.46,48.39,100.0,14.05,14.05,14.05,508.65,0.02,100.0,-2.4,-2.4,Classical PSO,0.0,0.0,Tie
14697,99918,12,5,119.6,13.0,incident,35,75,8.18,8.18,8.18,346.62,82.63,100.0,10.19,10.19,10.19,472.09,64.19,100.0,75.8,75.8,11.49,413.54,0.01,0.0,19.73,19.73,QPSO,89.2,28.8,QPSO
14698,39160,12,4,96.1,8.5,rush_hour,35,65,17.74,17.74,17.74,422.52,70.69,100.0,19.35,19.35,19.35,453.44,82.42,100.0,267.4,267.4,21.61,537.52,0.01,0.0,8.3,8.3,QPSO,93.37,17.92,QPSO
14699,65454,20,5,113.0,8.5,uniform,25,60,18.77,18.77,18.77,782.65,58.89,100.0,21.32,21.32,21.32,882.63,60.3,100.0,19.33,19.33,19.33,717.45,0.01,100.0,11.98,11.98,QPSO,2.92,2.92,QPSO
14700,90466,13,5,96.4,9.0,uniform,30,77,12.13,12.13,12.13,495.17,89.81,100.0,11.56,11.56,11.56,449.58,65.97,100.0,16.08,16.08,16.08,679.41,0.01,100.0,-4.99,-4.99,Classical PSO,24.53,24.53,QPSO
14701,94080,17,6,76.5,8.0,uniform,40,61,16.68,16.68,16.68,676.16,95.48,100.0,17.33,17.33,17.33,715.84,69.88,100.0,18.45,18.45,18.45,745.45,0.01,100.0,3.77,3.77,QPSO,9.59,9.59,QPSO
14702,75541,17,5,87.3,8.0,uniform,27,52,18.57,18.57,18.57,775.69,53.3,100.0,18.3,18.3,18.3,735.54,49.04,100.0,27.87,27.87,17.08,711.14,0.18,0.0,-1.47,-1.47,Classical PSO,33.37,-8.73,QPSO
14703,23895,19,6,83.0,8.5,rush_hour,30,51,32.47,32.47,32.47,729.79,67.02,100.0,33.37,33.37,33.37,805.04,37.39,100.0,32.5,32.5,32.5,748.4,0.12,100.0,2.7,2.7,QPSO,0.1,0.1,QPSO
14704,78202,11,4,89.6,9.0,rush_hour,35,72,16.06,16.06,16.06,431.05,84.29,100.0,17.6,17.6,17.6,475.02,66.3,100.0,17.27,17.27,17.27,446.2,0.01,100.0,8.79,8.79,QPSO,7.02,7.02,QPSO
14705,51981,15,5,84.0,18.0,uniform,41,79,16.49,16.49,16.49,721.34,98.32,100.0,16.93,16.93,16.93,704.1,125.47,100.0,164.6,164.6,16.73,630.86,0.01,0.0,2.61,2.61,QPSO,89.98,1.48,QPSO
